Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,Head_Yaw_dof,Head_Pitch_dof,Left_Shoulder_Pitch_dof,Left_Shoulder_Roll_dof,Left_Elbow_Pitch_dof,Left_Elbow_Yaw_dof,Right_Shoulder_Pitch_dof,Right_Shoulder_Roll_dof,Right_Elbow_Pitch_dof,Right_Elbow_Yaw_dof,Left_Hip_Pitch_dof,Left_Hip_Roll_dof,Left_Hip_Yaw_dof,Left_Knee_Pitch_dof,Left_Ankle_Pitch_dof,Left_Ankle_Roll_dof,Right_Hip_Pitch_dof,Right_Hip_Roll_dof,Right_Hip_Yaw_dof,Right_Knee_Pitch_dof,Right_Ankle_Pitch_dof,Right_Ankle_Roll_dof
40,80.98585510253906,-81.41075897216797,52.38377622714546,-6.50863306892056,28.501561954218996,-35.660678032079076,0.0,0.0,37.169647,-55.699524,-20.534943,-59.879467,-98.82997,88.34191,68.95138,48.69581,-84.6049,1.9186612,-13.022266,38.929897,19.767042,-9.858073,-2.0672982,10.581724,-8.823266,8.863642,-2.2713366,4.718452
41,84.87381744384766,-84.99198913574219,52.438878400757396,-8.406857055629692,26.179891971500936,-35.164476411050714,0.0,0.0,37.687923,-54.547318,-23.982208,-59.53543,-83.846725,83.29907,65.907166,47.293777,-77.06774,2.9518228,-14.930243,32.713356,19.767042,-13.489135,4.650799,11.773585,-8.692715,9.15373,6.6771483,5.8035655
42,88.31721496582031,-88.9647216796875,52.85934544694532,-8.377210313254524,25.677972748733183,-32.72074824246995,0.0,0.0,31.822693,-50.539337,-21.653698,-59.357094,-64.7475,77.58043,60.00816,44.36749,-67.842705,2.6238918,-12.496508,29.028706,19.767042,-11.567844,-4.2177935,9.438554,-12.628883,30.708672,5.6890574,3.215793
43,91.06794738769531,-92.77525329589844,53.0309083031532,-7.394711429004047,24.93823400843421,-30.863067322047197,0.0,0.0,23.653526,-48.219234,-15.820205,-59.282146,-55.286526,72.796135,55.92171,40.971115,-59.55458,1.7903821,-8.49627,22.786724,19.767042,-7.0009108,-13.223123,3.7935624,-18.92997,49.981922,2.4573822,0.14924966
44,93.30050659179688,-96.16986846923828,52.720447280206635,-6.295349867806222,24.87959795277631,-30.86518934698186,0.0,0.0,12.391371,-47.169872,-5.3106747,-59.3262,-54.270496,65.901146,53.554596,37.759975,-61.383003,0.52738357,-4.487572,34.32399,8.451208,-1.7487861,-23.462933,-1.9631201,-20.331888,68.90501,1.2489443,-2.0531924
45,95.03775787353516,-99.11761474609375,52.0896615468046,-5.8405460032755965,24.36181744925482,-32.4643451590748,0.0,0.0,-4.5891447,-48.78231,9.02495,-59.584927,-60.369907,44.579628,46.475945,35.686596,-61.087944,1.3608302,-0.47621953,43.770874,-3.7472024,2.5741234,-33.494156,-5.1667604,-19.500475,83.50143,0.6588971,-3.9926658
46,96.33714294433594,-101.83415222167969,51.512394637024855,-6.095167139724498,24.175847090548345,-35.24066258616067,0.0,0.0,-24.107513,-54.29539,25.551022,-59.775375,-82.52143,14.446705,42.379562,35.431034,-57.938114,4.2705054,5.2891083,48.949352,-17.232658,5.446731,-44.470524,-7.1461425,-19.391474,93.88827,-1.1221296,-5.9410176
47,97.31220245361328,-104.60798645019531,51.46222496269036,-5.841400546946004,24.771458772023596,-37.97988173559202,0.0,0.0,-34.258057,-58.391544,35.44195,-59.897114,-104.40929,6.545859,54.47101,35.74733,-55.001343,7.150962,8.853117,51.022877,-22.781805,5.3743973,-54.66652,-7.0798035,-16.930765,98.39458,-2.0368814,-7.370393
48,98.1471939086914,-107.51512145996094,52.03485296786591,-5.714854795956858,25.19202298698094,-41.406229493113635,0.0,0.0,-40.48276,-60.464184,41.244705,-59.958374,-105.99499,4.006541,54.02703,36.036423,-48.38296,9.735374,13.286982,47.76212,-25.630032,3.9082158,-65.573395,-5.2266107,-13.75202,99.72722,-1.9433631,-7.6898355
49,99.04783630371094,-110.67036437988281,53.10199870621461,-6.111374164078383,24.820673863955616,-46.09212131516906,0.0,0.0,-46.148773,-60.337513,48.136265,-59.912865,12.2327,-4.9631763,-64.56178,36.155083,-36.37635,10.320715,21.4076,37.570236,-24.819422,0.76741904,-75.52489,-0.85324615,-9.72122,95.95291,-2.3347151,-10.0535755
50,100.12191772460938,-114.14640045166016,54.3411958264841,-7.19811715940824,24.226231473089115,-51.987642901970396,0.0,0.0,-49.16934,-58.680515,51.229942,-59.75011,5.160101,-3.272512,-58.154133,35.6496,-23.584463,8.0724325,27.978935,24.301098,-17.914211,-4.755179,-80.94993,5.1301613,-7.8247123,86.96708,-1.9355161,-11.475004
51,101.39142608642578,-117.92340087890625,55.30949813203644,-7.28594806656337,23.562008606849602,-55.638080622907005,0.0,0.0,-51.9345,-57.094383,54.061295,-59.58225,0.009914232,-0.6992726,-51.567444,35.183636,-11.873197,3.8737638,32.56413,10.167382,-8.778345,-9.213878,-81.13267,10.712638,-5.206478,74.39806,0.70677817,-9.548922
52,102.82049560546875,-121.80300903320312,55.79814936304983,-7.118317837310506,22.709819892770614,-58.884980781711256,0.0,0.0,-54.323112,-55.28948,56.315117,-59.41439,0.8625034,1.104575,-51.472355,34.702427,-6.654401,2.6939216,35.76151,9.96262,-5.4104276,-12.580026,-76.90138,15.220091,-2.0213373,56.938038,4.7778435,-6.676053
53,104.39510345458984,-125.84590911865234,55.53200152740526,-5.857967767853773,22.106161962310644,-61.62919461004003,0.0,0.0,-53.724445,-52.880157,55.24687,-59.297874,31.714598,4.114285,-79.56088,34.402176,-0.9937933,-0.3594081,36.887196,9.842782,1.2875423,-15.865596,-67.58346,18.065552,3.1075947,32.377743,13.284266,-3.1594653
54,106.28153991699219,-130.19839477539062,54.08645443055755,-2.296511109629762,20.688825042942078,-62.822180603975355,0.0,0.0,-49.59803,-49.751404,50.882473,-59.173428,67.01924,8.033661,-111.2963,34.69731,7.134862,-5.582578,35.29751,9.880368,8.141361,-18.91954,-57.600704,18.317812,5.333267,11.800322,19.767042,-0.70995206
55,108.29217529296875,-134.83726501464844,52.06997352693088,1.8673125826201824,18.013539924909065,-63.2047411600238,0.0,0.0,-43.069653,-47.685314,47.70092,-59.056488,69.90085,11.291027,-111.87616,35.302895,18.17672,-11.271315,33.176334,9.691591,14.184713,-19.767042,-55.23743,17.58232,2.9079604,8.87695,18.062466,0.4312827
56,110.19971466064453,-139.70352172851562,50.41463045388022,4.779914834504605,15.414657824108193,-63.8479195206717,0.0,0.0,-35.376488,-43.809658,41.536167,-58.897026,69.90085,14.189978,-111.14077,36.029495,29.623243,-14.065445,29.093975,10.236973,19.767042,-19.767042,-53.49135,16.53712,-2.331474,8.64099,14.937496,0.44865713
57,111.85186004638672,-144.71669006347656,49.437812621454825,6.254033627739995,12.030793473717612,-65.35117738459665,0.0,0.0,-23.042181,-38.71588,30.588707,-58.756195,69.90085,16.466776,-110.10566,36.826977,35.501423,-12.549942,25.864014,23.829687,19.767042,-19.767042,-50.547813,15.60108,-7.7072115,8.797877,14.070645,0.33810967
58,112.98780822753906,-149.4336395263672,49.167122190518924,6.1659430045276205,9.12338092072338,-67.66498237027342,0.0,0.0,-2.1410098,-34.480038,10.879665,-58.480587,69.90085,17.373034,-108.26111,37.510674,36.407574,-8.122325,24.0826,45.46155,19.767042,-19.767042,-46.744457,15.115899,-9.986991,9.151352,16.593801,-0.30227205
59,113.33690643310547,-153.57493591308594,49.4196847716275,5.292440188628571,6.691630014682546,-69.13806981868503,0.0,0.0,19.363829,-35.162228,-11.154144,-57.844997,69.90085,18.802923,-105.32803,38.048508,37.998318,-4.648591,19.989754,61.627415,19.767042,-19.767042,-41.965767,14.66726,-12.826997,9.756114,14.402444,-2.2193253
60,113.24188995361328,-157.31661987304688,50.00636127068775,4.332994864954095,4.811311513629861,-70.55351162623741,0.0,0.0,35.9928,-39.390404,-30.224821,-57.36323,69.90085,18.287252,-104.01303,38.570877,39.343082,-0.69924885,16.589176,73.338196,19.767042,-19.767042,-37.025578,15.426025,-15.043084,10.3541765,10.865425,-5.0059896
61,112.85445404052734,-160.76718139648438,50.67508365839562,2.9563201042494964,3.7986859118599092,-72.10596453516486,0.0,0.0,50.2389,-44.748386,-47.129326,-57.201496,69.90085,17.095081,-101.79671,38.870495,38.807083,3.8688397,11.777966,85.46091,19.767042,-19.767042,-32.589153,16.318888,-16.888504,11.101846,7.5499797,-8.090727
62,112.24174499511719,-164.36012268066406,51.28858512068556,1.907081169903653,2.682388940635664,-71.88016589226812,0.0,0.0,58.736523,-51.064167,-59.49337,-57.185635,69.90085,13.331787,-99.84534,39.038036,35.210274,8.194507,4.194902,94.06505,19.767042,-19.767042,-27.541487,16.866732,-17.392105,11.424906,3.8240516,-8.9674425
63,111.37953186035156,-167.7718963623047,51.793975408281355,0.9566893574591472,1.5784706323205644,-71.86972016120096,0.0,0.0,63.623276,-57.472828,-69.82045,-57.325104,69.90085,7.783561,-98.3558,38.995964,26.001623,12.252042,-5.7139273,102.12818,19.767042,-19.767042,-22.727934,17.941128,-16.359667,11.438128,0.47432706,-9.333212
64,110.16152954101562,-170.7674560546875,52.22099747540341,1.376989507790808,2.691835440684962,-70.63479458265513,0.0,0.0,64.56493,-62.259956,-72.95387,-57.775494,-9.404803,-16.446054,-13.840898,37.006893,9.943605,13.132141,-17.208435,108.941414,19.767042,-19.767042,-19.740757,17.450005,-15.186585,11.282405,-1.8425826,-8.557278
65,108.49745178222656,-173.3527069091797,52.57665701009442,1.6345758223824103,4.104995312174564,-68.95573247397569,0.0,0.0,63.47705,-65.440125,-72.38007,-58.169636,33.29844,-20.65519,-52.05667,35.86192,-13.648924,12.76198,-30.021818,108.378006,19.767042,-19.767042,-22.745934,16.495617,-17.110077,17.764133,-4.2760515,-7.041733
66,106.5882797241211,-175.55332946777344,52.66116909619176,2.1018150503122572,5.5398612345200915,-66.81553088671701,0.0,0.0,63.289963,-67.64553,-66.80489,-58.28937,66.067665,-35.758945,-76.27508,34.57946,-37.15603,14.142335,-41.047222,90.55873,14.386043,-19.767042,-30.300838,13.1903105,-23.47609,27.498037,-5.0191936,-5.982625
67,105.21302032470703,-177.80946350097656,52.60542181558302,3.335023098409566,5.70722318422087,-63.39796589475786,0.0,0.0,62.335617,-70.506744,-57.068512,-57.963333,69.90085,-57.18627,-77.45047,34.783916,-50.0417,14.590233,-42.646744,52.55239,16.153387,-19.767042,-39.003716,5.9207172,-26.571747,40.50981,-1.5896403,-1.5682344
68,105.7933578491211,-178.66134643554688,52.06683441563318,4.297584414473876,6.088827341015621,-61.03316549066607,0.0,0.0,63.332497,-72.29612,-49.48915,-57.773308,69.90085,-69.74275,-77.96792,35.383995,-51.21302,14.540077,-38.32,23.403593,19.767042,-19.767042,-44.29748,0.30867794,-25.848574,49.988914,-4.939457,0.12535544
69,107.7948226928711,-179.6480712890625,51.50943235724269,2.832416987644004,4.2738463001795735,-59.58858058166743,0.0,0.0,66.3199,-75.47893,-45.394535,-57.381187,69.90085,-76.77166,-81.534775,37.00708,-59.372128,8.114313,-35.779022,15.449944,19.767042,-19.767042,-43.228977,-3.2112675,-27.316105,57.35278,-10.942733,1.0866574
70,108.84628295898438,-181.07785034179688,51.66894074207087,0.6839678488657718,2.9178690546996555,-58.07742518857808,0.0,0.0,69.193016,-79.1597,-42.167397,-56.443855,69.90085,-79.58202,-84.21591,40.076466,-68.41107,-0.64145076,-32.809723,17.322012,19.767042,-18.30324,-37.81547,-2.0222023,-28.229652,56.070183,-15.264133,2.1979215
